City,Country,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude,Date
chokurdakh,RU,-10.97,99,98,2.84,70.6333,147.9167,1634953102
chuy,UY,57.79,71,100,5.17,-33.6971,-53.4616,1634953292
svetlyy,RU,41.05,69,36,21.56,54.675,20.1347,1634953133
carnarvon,AU,80.67,29,0,14.97,-24.8667,113.6333,1634953097
albany,US,48.15,81,48,5.23,42.6001,-73.9662,1634953013
cape town,ZA,58.08,88,75,5.99,-33.9258,18.4232,1634953253
zhigansk,RU,19.35,95,96,4.68,66.7697,123.3711,1634953119
moundou,TD,71.85,92,56,2.19,8.5667,16.0833,1634953294
barrow,US,30.22,86,90,6.91,71.2906,-156.7887,1634953293
atuona,PF,77.88,79,23,17.2,-9.8,-139.0333,1634953294
touros,BR,81.5,80,25,10.31,-5.1989,-35.4608,1634953295
lavrentiya,RU,23.88,83,100,12.33,65.5833,-171.0,1634953295
miracema do tocantins,BR,72.57,86,100,3.31,-9.5618,-48.3967,1634953296
east london,ZA,62.4,74,49,6.8,-33.0153,27.9116,1634953171
dikson,RU,13.87,88,100,17.9,73.5069,80.5464,1634953086
lasa,IT,45.86,80,20,4.14,46.6166,10.7002,1634953056
punta arenas,CL,39.31,81,75,35.68,-53.15,-70.9167,1634953297
loukhi,RU,27.37,81,98,11.92,66.0764,33.0381,1634953297
qaanaaq,GL,-0.85,65,0,8.3,77.484,-69.3632,1634953298
berdigestyakh,RU,34.29,95,100,9.93,62.0989,126.6992,1634953298
nikolskoye,RU,44.87,80,100,12.33,59.7035,30.7861,1634953018
tomatlan,MX,76.28,96,83,0.74,19.9333,-105.25,1634953299
bay-ang,PH,81.48,79,36,13.24,11.0347,122.9417,1634953299
goderich,CA,41.92,75,100,5.75,43.7501,-81.7165,1634953006
lorengau,PG,86.02,65,71,8.01,-2.0226,147.2712,1634953024
saint george,US,73.99,23,1,4.0,37.1041,-113.5841,1634953300
geraldton,AU,74.12,43,0,10.36,-28.7667,114.6,1634953300
katsuura,JP,62.71,51,3,15.82,35.1333,140.3,1634953094
ushuaia,AR,40.66,75,75,12.66,-54.8,-68.3,1634953086
talnakh,RU,25.7,97,100,9.06,69.4865,88.3972,1634953301
fort nelson,CA,44.19,70,75,3.44,58.8053,-122.7002,1634953302
taybad,IR,41.29,27,0,7.29,34.74,60.7756,1634953302
saint-philippe,RE,72.95,82,35,7.54,-21.3585,55.7679,1634953303
batagay-alyta,RU,8.47,93,100,0.92,67.8006,130.4114,1634953303
chichester,GB,50.86,90,12,3.96,50.8367,-0.78,1634953303
clyde river,CA,21.63,76,100,6.42,70.4692,-68.5914,1634953304
sorland,NO,40.84,52,100,4.41,67.667,12.6934,1634953304
kendari,ID,90.81,50,4,2.15,-3.945,122.4989,1634953305
new norfolk,AU,55.65,83,100,2.24,-42.7826,147.0587,1634953089
bredasdorp,ZA,58.28,72,100,23.02,-34.5322,20.0403,1634953305
hobart,AU,56.01,91,75,9.22,-42.8794,147.3294,1634953147
roseti,RO,57.04,77,100,6.31,44.2167,27.4333,1634953306
butaritari,KI,82.27,78,77,18.57,3.0707,172.7902,1634953306
vargashi,RU,43.84,80,83,18.1,55.3556,65.8467,1634953307
uige,AO,67.5,98,100,2.19,-7.6087,15.0613,1634953307
qasigiannguit,GL,19.65,75,55,7.18,68.8193,-51.1922,1634953308
calvinia,ZA,47.05,90,100,20.83,-31.4707,19.776,1634953308
colonia,DE,48.96,93,40,1.14,50.9333,6.95,1634953268
satipo,PE,79.18,65,96,2.42,-11.2522,-74.6386,1634953309
mataura,NZ,72.32,39,99,1.28,-46.1927,168.8643,1634953309
at-bashi,KG,19.8,68,79,2.04,41.1702,75.8106,1634953309
bluff,NZ,56.8,67,100,11.25,-46.6,168.3333,1634953310
mugur-aksy,RU,28.65,78,100,6.33,50.35,90.5,1634953310
provideniya,RU,27.52,75,100,8.19,64.3833,-173.3,1634953311
bambous virieux,MU,73.22,94,75,6.91,-20.3428,57.7575,1634953311
port alfred,ZA,61.32,84,3,9.8,-33.5906,26.891,1634953311
kandrian,PG,83.3,78,97,11.12,-6.2167,149.55,1634953312
vaini,TO,77.16,78,75,11.5,-21.2,-175.2,1634953312
coihaique,CL,48.15,53,75,6.91,-45.5752,-72.0662,1634953152
rikitea,PF,74.07,83,9,19.66,-23.1203,-134.9692,1634953313
beyneu,KZ,48.52,36,3,10.11,45.3167,55.2,1634953313
yellowknife,CA,42.42,76,20,20.71,62.456,-114.3525,1634953314
ikornnes,NO,44.74,88,100,1.01,62.3873,6.557,1634953314
thompson,CA,30.36,86,75,3.44,55.7435,-97.8558,1634953112
palmer,US,57.81,68,20,3.44,42.1584,-72.3287,1634953315
port elizabeth,ZA,66.09,77,0,4.61,-33.918,25.5701,1634953129
