City,Country,Latitude,Temperature,Humidity,Cloudiness,Windspeed,Date
chokurdakh,RU,70.6333,-10.97,99,98,2.84,1634953102
chuy,UY,-33.6971,57.79,71,100,5.17,1634953292
svetlyy,RU,54.675,41.05,69,36,21.56,1634953133
carnarvon,AU,-24.8667,80.67,29,0,14.97,1634953097
albany,US,42.6001,48.15,81,48,5.23,1634953013
cape town,ZA,-33.9258,58.08,88,75,5.99,1634953253
zhigansk,RU,66.7697,19.35,95,96,4.68,1634953119
moundou,TD,8.5667,71.85,92,56,2.19,1634953294
barrow,US,71.2906,30.22,86,90,6.91,1634953293
atuona,PF,-9.8,77.88,79,23,17.2,1634953294
touros,BR,-5.1989,81.5,80,25,10.31,1634953295
lavrentiya,RU,65.5833,23.88,83,100,12.33,1634953295
miracema do tocantins,BR,-9.5618,72.57,86,100,3.31,1634953296
east london,ZA,-33.0153,62.4,74,49,6.8,1634953171
dikson,RU,73.5069,13.87,88,100,17.9,1634953086
lasa,IT,46.6166,45.86,80,20,4.14,1634953056
punta arenas,CL,-53.15,39.31,81,75,35.68,1634953297
loukhi,RU,66.0764,27.37,81,98,11.92,1634953297
qaanaaq,GL,77.484,-0.85,65,0,8.3,1634953298
berdigestyakh,RU,62.0989,34.29,95,100,9.93,1634953298
nikolskoye,RU,59.7035,44.87,80,100,12.33,1634953018
tomatlan,MX,19.9333,76.28,96,83,0.74,1634953299
bay-ang,PH,11.0347,81.48,79,36,13.24,1634953299
goderich,CA,43.7501,41.92,75,100,5.75,1634953006
lorengau,PG,-2.0226,86.02,65,71,8.01,1634953024
saint george,US,37.1041,73.99,23,1,4.0,1634953300
geraldton,AU,-28.7667,74.12,43,0,10.36,1634953300
katsuura,JP,35.1333,62.71,51,3,15.82,1634953094
ushuaia,AR,-54.8,40.66,75,75,12.66,1634953086
talnakh,RU,69.4865,25.7,97,100,9.06,1634953301
fort nelson,CA,58.8053,44.19,70,75,3.44,1634953302
taybad,IR,34.74,41.29,27,0,7.29,1634953302
saint-philippe,RE,-21.3585,72.95,82,35,7.54,1634953303
batagay-alyta,RU,67.8006,8.47,93,100,0.92,1634953303
chichester,GB,50.8367,50.86,90,12,3.96,1634953303
clyde river,CA,70.4692,21.63,76,100,6.42,1634953304
sorland,NO,67.667,40.84,52,100,4.41,1634953304
kendari,ID,-3.945,90.81,50,4,2.15,1634953305
new norfolk,AU,-42.7826,55.65,83,100,2.24,1634953089
bredasdorp,ZA,-34.5322,58.28,72,100,23.02,1634953305
hobart,AU,-42.8794,56.01,91,75,9.22,1634953147
roseti,RO,44.2167,57.04,77,100,6.31,1634953306
butaritari,KI,3.0707,82.27,78,77,18.57,1634953306
vargashi,RU,55.3556,43.84,80,83,18.1,1634953307
uige,AO,-7.6087,67.5,98,100,2.19,1634953307
qasigiannguit,GL,68.8193,19.65,75,55,7.18,1634953308
calvinia,ZA,-31.4707,47.05,90,100,20.83,1634953308
colonia,DE,50.9333,48.96,93,40,1.14,1634953268
satipo,PE,-11.2522,79.18,65,96,2.42,1634953309
mataura,NZ,-46.1927,72.32,39,99,1.28,1634953309
at-bashi,KG,41.1702,19.8,68,79,2.04,1634953309
bluff,NZ,-46.6,56.8,67,100,11.25,1634953310
mugur-aksy,RU,50.35,28.65,78,100,6.33,1634953310
provideniya,RU,64.3833,27.52,75,100,8.19,1634953311
bambous virieux,MU,-20.3428,73.22,94,75,6.91,1634953311
port alfred,ZA,-33.5906,61.32,84,3,9.8,1634953311
kandrian,PG,-6.2167,83.3,78,97,11.12,1634953312
vaini,TO,-21.2,77.16,78,75,11.5,1634953312
coihaique,CL,-45.5752,48.15,53,75,6.91,1634953152
rikitea,PF,-23.1203,74.07,83,9,19.66,1634953313
beyneu,KZ,45.3167,48.52,36,3,10.11,1634953313
yellowknife,CA,62.456,42.42,76,20,20.71,1634953314
ikornnes,NO,62.3873,44.74,88,100,1.01,1634953314
thompson,CA,55.7435,30.36,86,75,3.44,1634953112
palmer,US,42.1584,57.81,68,20,3.44,1634953315
port elizabeth,ZA,-33.918,66.09,77,0,4.61,1634953129
busselton,AU,-33.65,63.63,55,0,4.85,1634953315
hermanus,ZA,-34.4187,58.8,88,100,23.55,1634953109
kodiak,US,57.79,41.18,76,100,12.37,1634953177
kaitangata,NZ,-46.2817,60.67,61,99,6.4,1634953195
kushima,JP,31.4583,66.24,59,81,13.58,1634953198
jinchang,CN,38.4953,48.58,51,100,2.8,1634953316
ancud,CL,-41.8697,48.42,77,96,9.4,1634953317
ponta do sol,PT,32.6667,68.72,66,34,7.74,1634953317
taltal,CL,-25.4,57.65,78,41,2.46,1634953220
ovsyanka,RU,55.9575,38.37,64,34,13.38,1634953318
cayenne,GF,4.9333,78.1,88,90,1.14,1634953318
tondano,ID,1.3038,80.69,78,99,1.99,1634953318
umm lajj,SA,25.0213,77.2,58,0,10.13,1634953319
pacifica,US,37.6138,61.52,88,75,1.01,1634953319
esperance,AU,-33.8667,62.44,54,9,9.62,1634953320
longyearbyen,SJ,78.2186,17.44,79,20,1.14,1634953236
sisimiut,GL,66.9395,21.07,73,8,8.7,1634953227
albertville,US,34.2676,56.28,75,1,3.44,1634953274
sao filipe,CV,14.8961,80.47,65,0,4.16,1634953321
sinnamary,GF,5.3833,78.04,89,91,11.16,1634953151
paramonga,PE,-10.6667,62.65,86,72,8.99,1634953321
boysun,UZ,38.2061,36.95,53,2,1.97,1634953322
kailua,US,21.4022,87.78,65,40,11.5,1634953278
georgetown,MY,5.4112,84.88,81,20,1.99,1634953323
iqaluit,CA,63.7506,26.33,86,90,15.01,1634953323
cidreira,BR,-30.1811,64.96,87,0,9.6,1634953142
nanortalik,GL,60.1432,38.77,97,100,10.49,1634953323
seoul,KR,37.5683,56.77,58,0,4.61,1634953324
saint anthony,US,45.0205,44.53,70,90,3.44,1634953324
pisco,PE,-13.7,61.02,82,0,16.11,1634953220
channel-port aux basques,CA,47.5702,55.24,98,99,8.95,1634953325
jamestown,US,42.097,45.72,88,90,1.01,1634953068
presque isle,US,46.6811,55.83,81,90,14.97,1634953325
belmonte,BR,-15.8631,77.5,91,100,9.33,1634953326
viedma,AR,-40.8135,44.91,84,0,8.52,1634953326
chapais,CA,49.7834,29.98,81,100,2.68,1634953327
castro,BR,-24.7911,55.31,81,0,3.78,1634953146
